date,home_team,away_team,team,scorer,minute,tournament,own_goal,penalty
1930-07-13,Belgium,United States,United States,Bart McGhee,23.0,FIFA WC 1930,False,False
1930-07-13,Belgium,United States,United States,Tom Florie,45.0,FIFA WC 1930,False,False
1930-07-13,Belgium,United States,United States,Bert Patenaude,69.0,FIFA WC 1930,False,False
1930-07-13,France,Mexico,France,Lucien Laurent,19.0,FIFA WC 1930,False,False
1930-07-13,France,Mexico,France,Marcel Langiller,40.0,FIFA WC 1930,False,False
1930-07-13,France,Mexico,France,André Maschinot,43.0,FIFA WC 1930,False,False
1930-07-13,France,Mexico,Mexico,Juan Carreño,70.0,FIFA WC 1930,False,False
1930-07-13,France,Mexico,France,André Maschinot,87.0,FIFA WC 1930,False,False
1930-07-14,Brazil,Yugoslavia,Yugoslavia,Aleksandar Tirnanić,21.0,FIFA WC 1930,False,False
1930-07-14,Brazil,Yugoslavia,Yugoslavia,Ivan Bek,30.0,FIFA WC 1930,False,False
1930-07-14,Brazil,Yugoslavia,Brazil,Preguinho,62.0,FIFA WC 1930,False,False
1930-07-14,Peru,Romania,Romania,Adalbert Deşu,1.0,FIFA WC 1930,False,False
1930-07-14,Peru,Romania,Peru,Luis de Souza,75.0,FIFA WC 1930,False,False
1930-07-14,Peru,Romania,Romania,Constantin Stanciu,79.0,FIFA WC 1930,False,False
1930-07-14,Peru,Romania,Romania,Miklós Kovács,89.0,FIFA WC 1930,False,False
1930-07-15,Argentina,France,Argentina,Luis Monti,81.0,FIFA WC 1930,False,False
1930-07-16,Chile,Mexico,Chile,Carlos Vidal,3.0,FIFA WC 1930,False,False
1930-07-16,Chile,Mexico,Chile,Manuel Rosas,52.0,FIFA WC 1930,True,False
1930-07-16,Chile,Mexico,Chile,Carlos Vidal,65.0,FIFA WC 1930,False,False
1930-07-17,Bolivia,Yugoslavia,Yugoslavia,Ivan Bek,60.0,FIFA WC 1930,False,False
1930-07-17,Bolivia,Yugoslavia,Yugoslavia,Blagoje Marjanović,65.0,FIFA WC 1930,False,False
1930-07-17,Bolivia,Yugoslavia,Yugoslavia,Ivan Bek,67.0,FIFA WC 1930,False,False
1930-07-17,Bolivia,Yugoslavia,Yugoslavia,Đorđe Vujadinović,85.0,FIFA WC 1930,False,False
1930-07-17,Paraguay,United States,United States,Bert Patenaude,10.0,FIFA WC 1930,False,False
1930-07-17,Paraguay,United States,United States,Bert Patenaude,15.0,FIFA WC 1930,False,False
1930-07-17,Paraguay,United States,United States,Bert Patenaude,50.0,FIFA WC 1930,False,False
1930-07-18,Uruguay,Peru,Uruguay,Héctor Castro,65.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Argentina,Guillermo Stábile,8.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Argentina,Adolfo Zumelzú,12.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Argentina,Guillermo Stábile,17.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Mexico,Manuel Rosas,42.0,FIFA WC 1930,False,True
1930-07-19,Argentina,Mexico,Argentina,Francisco Varallo,53.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Argentina,Adolfo Zumelzú,55.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Mexico,Manuel Rosas,65.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Mexico,Roberto Gayón,75.0,FIFA WC 1930,False,False
1930-07-19,Argentina,Mexico,Argentina,Guillermo Stábile,80.0,FIFA WC 1930,False,False
1930-07-19,Chile,France,Chile,Guillermo Subiabre,67.0,FIFA WC 1930,False,False
1930-07-20,Belgium,Paraguay,Paraguay,Luis Vargas Peña,40.0,FIFA WC 1930,False,False
1930-07-20,Bolivia,Brazil,Brazil,Moderato Wisintainer,37.0,FIFA WC 1930,False,False
1930-07-20,Bolivia,Brazil,Brazil,Preguinho,57.0,FIFA WC 1930,False,False
1930-07-20,Bolivia,Brazil,Brazil,Moderato Wisintainer,73.0,FIFA WC 1930,False,False
1930-07-20,Bolivia,Brazil,Brazil,Preguinho,83.0,FIFA WC 1930,False,False
1930-07-21,Uruguay,Romania,Uruguay,Pablo Dorado,7.0,FIFA WC 1930,False,False
1930-07-21,Uruguay,Romania,Uruguay,Héctor Scarone,26.0,FIFA WC 1930,False,False
1930-07-21,Uruguay,Romania,Uruguay,Peregrino Anselmo,31.0,FIFA WC 1930,False,False
1930-07-21,Uruguay,Romania,Uruguay,Pedro Cea,35.0,FIFA WC 1930,False,False
1930-07-22,Argentina,Chile,Argentina,Guillermo Stábile,12.0,FIFA WC 1930,False,False
1930-07-22,Argentina,Chile,Argentina,Guillermo Stábile,13.0,FIFA WC 1930,False,False
1930-07-22,Argentina,Chile,Chile,Guillermo Subiabre,15.0,FIFA WC 1930,False,False
1930-07-22,Argentina,Chile,Argentina,Mario Evaristo,51.0,FIFA WC 1930,False,False
1930-07-26,Argentina,United States,Argentina,Luis Monti,20.0,FIFA WC 1930,False,False
