date,home_team,home_score,away_score,away_team,tournament,country,city,year
1930-07-13,Belgium,0,3,United States,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-13,France,4,1,Mexico,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-14,Brazil,1,2,Yugoslavia,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-14,Peru,1,3,Romania,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-15,Argentina,1,0,France,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-16,Chile,3,0,Mexico,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-17,Bolivia,0,4,Yugoslavia,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-17,Paraguay,0,3,United States,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-18,Uruguay,1,0,Peru,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-19,Argentina,6,3,Mexico,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-19,Chile,1,0,France,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-20,Belgium,0,1,Paraguay,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-20,Bolivia,0,4,Brazil,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-21,Uruguay,4,0,Romania,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-22,Argentina,3,1,Chile,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-26,Argentina,6,1,United States,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-27,Uruguay,6,1,Yugoslavia,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-30,Uruguay,4,2,Argentina,FIFA WC 1930,Uruguay,Montevideo,1930
1934-05-27,Argentina,2,3,Sweden,FIFA WC 1934,Italy,Bologna,1934
1934-05-27,Austria,3,2,France,FIFA WC 1934,Italy,Turin,1934
1934-05-27,Belgium,2,5,Germany,FIFA WC 1934,Italy,Florence,1934
1934-05-27,Brazil,1,3,Spain,FIFA WC 1934,Italy,Genoa,1934
1934-05-27,Czechoslovakia,2,1,Romania,FIFA WC 1934,Italy,Trieste,1934
1934-05-27,Egypt,2,4,Hungary,FIFA WC 1934,Italy,Naples,1934
1934-05-27,Italy,7,1,United States,FIFA WC 1934,Italy,Rome,1934
1934-05-27,Netherlands,2,3,Switzerland,FIFA WC 1934,Italy,Milan,1934
1934-05-31,Austria,2,1,Hungary,FIFA WC 1934,Italy,Bologna,1934
1934-05-31,Czechoslovakia,3,2,Switzerland,FIFA WC 1934,Italy,Turin,1934
1934-05-31,Germany,2,1,Sweden,FIFA WC 1934,Italy,Milan,1934
1934-05-31,Italy,1,1,Spain,FIFA WC 1934,Italy,Florence,1934
1934-06-01,Italy,1,0,Spain,FIFA WC 1934,Italy,Florence,1934
1934-06-03,Czechoslovakia,3,1,Germany,FIFA WC 1934,Italy,Rome,1934
1934-06-03,Italy,1,0,Austria,FIFA WC 1934,Italy,Milan,1934
1934-06-07,Austria,2,3,Germany,FIFA WC 1934,Italy,Naples,1934
1934-06-10,Italy,2,1,Czechoslovakia,FIFA WC 1934,Italy,Rome,1934
1938-06-04,Germany,1,1,Switzerland,FIFA WC 1938,France,Paris,1938
1938-06-05,Brazil,6,5,Poland,FIFA WC 1938,France,Strasbourg,1938
1938-06-05,Cuba,3,3,Romania,FIFA WC 1938,France,Toulouse,1938
1938-06-05,Czechoslovakia,3,0,Netherlands,FIFA WC 1938,France,Le Havre,1938
1938-06-05,France,3,1,Belgium,FIFA WC 1938,France,Colombes,1938
1938-06-05,Hungary,6,0,Indonesia,FIFA WC 1938,France,Reims,1938
1938-06-05,Italy,2,1,Norway,FIFA WC 1938,France,Marseille,1938
1938-06-09,Cuba,2,1,Romania,FIFA WC 1938,France,Toulouse,1938
1938-06-09,Germany,2,4,Switzerland,FIFA WC 1938,France,Paris,1938
1938-06-12,Brazil,1,1,Czechoslovakia,FIFA WC 1938,France,Bordeaux,1938
1938-06-12,Cuba,0,8,Sweden,FIFA WC 1938,France,Antibes,1938
1938-06-12,France,1,3,Italy,FIFA WC 1938,France,Colombes,1938
1938-06-12,Hungary,2,0,Switzerland,FIFA WC 1938,France,Lille,1938
1938-06-14,Brazil,2,1,Czechoslovakia,FIFA WC 1938,France,Bordeaux,1938
1938-06-16,Brazil,1,2,Italy,FIFA WC 1938,France,Marseille,1938
1938-06-16,Hungary,5,1,Sweden,FIFA WC 1938,France,Paris,1938
1938-06-19,Brazil,4,2,Sweden,FIFA WC 1938,France,Bordeaux,1938
1938-06-19,Hungary,2,4,Italy,FIFA WC 1938,France,Colombes,1938
1950-06-24,Brazil,4,0,Mexico,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-06-25,Chile,0,2,England,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-06-25,Italy,2,3,Sweden,FIFA WC 1950,Brazil,São Paulo,1950
1950-06-25,Spain,3,1,United States,FIFA WC 1950,Brazil,Curitiba,1950
1950-06-25,Switzerland,0,3,Yugoslavia,FIFA WC 1950,Brazil,Belo Horizonte,1950
