date,home_team,away_team,winner,tournament,first_shooter
1982-07-08,Germany,France,Germany,FIFA WC 1982,France
1986-06-21,Brazil,France,France,FIFA WC 1986,Brazil
1986-06-21,Mexico,Germany,Germany,FIFA WC 1986,Germany
1986-06-22,Spain,Belgium,Belgium,FIFA WC 1986,Spain
1990-06-25,Republic of Ireland,Romania,Republic of Ireland,FIFA WC 1990,Romania
1990-06-30,Yugoslavia,Argentina,Argentina,FIFA WC 1990,Argentina
1990-07-03,Italy,Argentina,Argentina,FIFA WC 1990,Italy
1990-07-04,Germany,England,Germany,FIFA WC 1990,England
1994-07-05,Mexico,Bulgaria,Bulgaria,FIFA WC 1994,Mexico
1994-07-10,Romania,Sweden,Sweden,FIFA WC 1994,Sweden
1994-07-17,Brazil,Italy,Brazil,FIFA WC 1994,Italy
1998-06-30,Argentina,England,Argentina,FIFA WC 1998,Argentina
1998-07-03,France,Italy,France,FIFA WC 1998,France
1998-07-07,Brazil,Netherlands,Brazil,FIFA WC 1998,Brazil
2002-06-16,Spain,Republic of Ireland,Spain,FIFA WC 2002,Republic of Ireland
2002-06-22,South Korea,Spain,South Korea,FIFA WC 2002,South Korea
2006-06-26,Switzerland,Ukraine,Ukraine,FIFA WC 2006,Ukraine
2006-06-30,Germany,Argentina,Germany,FIFA WC 2006,Germany
2006-07-01,England,Portugal,Portugal,FIFA WC 2006,Portugal
2006-07-09,Italy,France,Italy,FIFA WC 2006,Italy
2010-06-29,Paraguay,Japan,Paraguay,FIFA WC 2010,Paraguay
2010-07-02,Uruguay,Ghana,Uruguay,FIFA WC 2010,Uruguay
2014-06-28,Brazil,Chile,Brazil,FIFA WC 2014,Brazil
2014-06-29,Costa Rica,Greece,Costa Rica,FIFA WC 2014,Costa Rica
2014-07-05,Netherlands,Costa Rica,Netherlands,FIFA WC 2014,Costa Rica
2014-07-09,Netherlands,Argentina,Argentina,FIFA WC 2014,Netherlands
2018-07-01,Russia,Spain,Russia,FIFA WC 2018,Spain
2018-07-01,Croatia,Denmark,Croatia,FIFA WC 2018,Denmark
2018-07-03,Colombia,England,England,FIFA WC 2018,Colombia
2018-07-07,Russia,Croatia,Croatia,FIFA WC 2018,Russia
2022-12-05,Japan,Croatia,Croatia,FIFA WC 2022,Japan
2022-12-06,Morocco,Spain,Morocco,FIFA WC 2022,Morocco
2022-12-09,Croatia,Brazil,Croatia,FIFA WC 2022,Croatia
2022-12-09,Netherlands,Argentina,Argentina,FIFA WC 2022,Netherlands
2022-12-18,Argentina,France,Argentina,FIFA WC 2022,France
